disease,resistance_gene_count,temperature,humidity,soil_moisture,light,risk_level,risk_score
Early Blight,0,29.7,31.7,32.0,345.5,LOW,12.0
Late Blight,0,29.7,31.7,32.0,345.5,LOW,10.0
Fusarium Wilt,2,29.7,31.7,32.0,345.5,LOW,25.0
Early Blight,1,15.7,44.9,50.4,129.2,LOW,22.0
Late Blight,0,15.7,44.9,50.4,129.2,LOW,10.0
Fusarium Wilt,1,15.7,44.9,50.4,129.2,LOW,25.0
Early Blight,1,33.6,30.4,74.5,868.0,LOW,22.0
Late Blight,1,33.6,30.4,74.5,868.0,LOW,10.0
Fusarium Wilt,2,33.6,30.4,74.5,868.0,LOW,25.0
Early Blight,0,17.2,87.6,58.3,987.8,LOW,25.0
Late Blight,0,17.2,87.6,58.3,987.8,MEDIUM,45.0
Fusarium Wilt,1,17.2,87.6,58.3,987.8,LOW,25.0
Early Blight,0,34.1,72.1,78.9,735.1,LOW,25.0
Late Blight,2,34.1,72.1,78.9,735.1,LOW,10.0
Fusarium Wilt,2,34.1,72.1,78.9,735.1,LOW,25.0
Early Blight,1,20.4,36.9,32.2,799.3,LOW,22.0
Late Blight,2,20.4,36.9,32.2,799.3,LOW,10.0
Fusarium Wilt,1,20.4,36.9,32.2,799.3,LOW,25.0
Early Blight,1,29.9,71.4,23.7,902.0,MEDIUM,52.0
Late Blight,1,29.9,71.4,23.7,902.0,LOW,10.0
Fusarium Wilt,0,29.9,71.4,23.7,902.0,LOW,15.0
Early Blight,1,30.7,87.3,72.1,352.0,MEDIUM,52.0
Late Blight,2,30.7,87.3,72.1,352.0,LOW,10.0
Fusarium Wilt,1,30.7,87.3,72.1,352.0,LOW,25.0
Early Blight,0,35.2,51.4,62.4,535.2,LOW,25.0
Late Blight,2,35.2,51.4,62.4,535.2,LOW,10.0
Fusarium Wilt,1,35.2,51.4,62.4,535.2,MEDIUM,40.0
Early Blight,1,21.0,69.8,81.8,539.3,LOW,35.0
Late Blight,0,21.0,69.8,81.8,539.3,LOW,25.0
Fusarium Wilt,2,21.0,69.8,81.8,539.3,LOW,25.0
Early Blight,1,17.5,72.7,73.4,564.4,LOW,35.0
Late Blight,1,17.5,72.7,73.4,564.4,LOW,25.0
Fusarium Wilt,0,17.5,72.7,73.4,564.4,LOW,25.0
